GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
205.12,56.7,1003.94,30.22,18,31,24,70,SATISFACTORY
204.66,57.07,1003.94,30.17,19,35,27,70,SATISFACTORY
205.41,56.95,1003.96,30.12,18,31,24,70,SATISFACTORY
206.32,56.92,1004,30.05,19,37,28,65,SATISFACTORY
206.53,56.68,1004,30,22,38,30,65,SATISFACTORY
208.13,56.45,1004.04,29.93,22,47,33,65,SATISFACTORY
209.31,56.73,1004.06,29.87,22,45,34,65,SATISFACTORY
211.22,56.46,1004.06,29.81,27,50,38,60,SATISFACTORY
211.18,56.41,1004.06,29.76,23,45,33,60,SATISFACTORY
213.68,56.54,1004.1,29.68,24,48,34,60,SATISFACTORY
216.99,55.84,1004.08,29.62,27,48,36,55,SATISFACTORY
218.87,55.51,1004.04,29.54,26,51,39,50,GOOD
219.56,55.68,1004.06,29.49,28,53,40,50,GOOD
221.63,55.36,1004.12,29.41,28,52,39,50,GOOD
222.19,55.71,1004.14,29.34,29,52,40,45,GOOD
224.96,55.39,1004.14,29.25,35,62,48,40,GOOD
227.69,54.93,1004.1,29.18,34,62,48,40,GOOD
229.31,54.51,1004.1,29.09,39,67,51,40,GOOD
229.01,54.57,1004.14,29.05,42,71,52,40,GOOD
229.18,54.9,1004.16,28.99,49,75,63,40,GOOD
231.04,54.38,1004.2,28.93,58,82,74,35,GOOD
231.91,54.43,1004.22,28.87,67,90,85,35,GOOD
232.27,54.53,1004.18,28.84,67,91,83,35,GOOD
236.3,54,1004.22,28.75,75,107,98,35,GOOD
238.5,53.84,1004.24,28.68,81,111,103,30,GOOD
246.67,53.17,1004.26,28.59,90,122,114,25,GOOD
256.51,50.44,1004.24,28.52,144,206,189,35,GOOD
260.08,49.11,1004.28,28.47,171,233,222,45,GOOD
260.29,48.31,1004.26,28.49,184,253,239,50,GOOD
253.02,47.63,1004.28,28.51,241,345,327,50,GOOD
248.13,48.28,1004.28,28.5,271,395,374,55,SATISFACTORY
250.41,47.25,1004.4,28.46,311,474,444,55,SATISFACTORY
253.73,46.16,1004.4,28.44,349,543,511,60,SATISFACTORY
255.73,45.61,1004.38,28.45,353,564,523,65,SATISFACTORY
254.97,44.96,1004.4,28.51,359,573,523,70,SATISFACTORY
250,44.13,1004.36,28.56,373,608,558,80,SATISFACTORY
244.83,44.62,1004.38,28.58,383,611,568,80,SATISFACTORY
247.63,44.53,1004.4,28.57,368,583,538,75,SATISFACTORY
247.04,44.65,1004.41,28.57,354,552,510,75,SATISFACTORY
247.09,44.7,1004.4,28.58,337,510,471,75,SATISFACTORY
246.58,44.7,1004.41,28.58,304,467,422,75,SATISFACTORY
248.43,44.46,1004.4,28.58,277,393,376,75,SATISFACTORY
247.51,44.66,1004.4,28.58,273,383,359,75,SATISFACTORY
249.46,44.57,1004.41,28.59,245,338,316,75,SATISFACTORY
250.23,44.11,1004.38,28.57,213,277,269,75,SATISFACTORY
252.44,43.95,1004.4,28.54,188,249,235,75,SATISFACTORY
253.08,43.59,1004.4,28.52,173,224,214,75,SATISFACTORY
253.06,43.65,1004.43,28.51,170,213,206,75,SATISFACTORY
256.34,43.19,1004.49,28.52,171,217,210,80,SATISFACTORY
254.89,43.41,1004.53,28.51,169,218,212,75,SATISFACTORY
255.68,43.05,1004.53,28.51,152,200,187,80,SATISFACTORY
257.3,42.99,1004.57,28.51,171,221,215,80,SATISFACTORY
256.56,43.04,1004.57,28.52,164,218,208,80,SATISFACTORY
255.93,43.02,1004.57,28.54,161,211,201,80,SATISFACTORY
254.51,43.35,1004.65,28.56,157,208,197,75,SATISFACTORY
257.31,42.77,1004.63,28.57,161,215,201,80,SATISFACTORY
255.46,43.16,1004.65,28.59,162,209,203,80,SATISFACTORY
252.85,43.2,1004.67,28.6,154,209,195,80,SATISFACTORY
251.65,43.68,1004.67,28.61,152,198,191,75,SATISFACTORY
